title,description,link,pubDate
Celebrating the world's largest female afro,"Simone Williams sees her hair, which measures nearly 1.5m in circumference, as a symbol of pride.",https://www.bbc.co.uk/news/world-us-canada-56246510,2021-03-04 22:10:18+00:00
Coronavirus: Hairdressers reopen in the Netherlands,Hairdressers in the Netherlands have reopened after being shut since December.,https://www.bbc.co.uk/news/world-europe-56287658,2021-03-04 19:44:56+00:00
Nurses' union anger over 'pitiful' 1% NHS pay rise,"The government will face a public backlash if it does not pay staff more, the RCN union warns.",https://www.bbc.co.uk/news/uk-politics-56285087,2021-03-04 18:58:53+00:00
Philip Rutnam: £340k payout to official after Priti Patel bullying claims,"Home Office boss Philip Rutnam quit his job over what he claimed was ""vicious"" briefing against him.",https://www.bbc.co.uk/news/uk-politics-56281781,2021-03-04 18:42:27+00:00
Covid: Italy 'blocks' AstraZeneca vaccine shipment to Australia,"The bar on shipping 250,000 doses amid a row with the firm is backed by the EU.",https://www.bbc.co.uk/news/world-europe-56279202,2021-03-04 18:42:10+00:00
Brexit: UK extends Irish Sea checks grace period for parcels,"It comes a day after it extended the grace period for checks on agri-foods, a move the EU said was illegal.",https://www.bbc.co.uk/news/uk-northern-ireland-56285874,2021-03-04 18:31:56+00:00
Covid: What’s the problem with the EU vaccine rollout?,The coronavirus vaccine is being rolled out across the EU but there have been delays.,https://www.bbc.co.uk/news/explainers-56286235,2021-03-04 18:09:00+00:00
Covid-19: A new variant in the UK and a festival fallout over vaccines,Five things you need to know about the coronavirus pandemic this Thursday evening.,https://www.bbc.co.uk/news/uk-56277775,2021-03-04 18:02:06+00:00
Towns Fund: How were the winners chosen?,There has been controversy about the 45 towns sharing just over £1bn from the Towns Fund.,https://www.bbc.co.uk/news/56283199,2021-03-04 17:42:49+00:00
Covid-19: Another new variant added to UK watch list,It shares a worrying mutation with the South Africa and Brazil variants of concern.,https://www.bbc.co.uk/news/health-56284155,2021-03-04 17:28:39+00:00
Banksy confirms escaping prisoner artwork at Reading Prison,"The street art appeared on the side of Reading Prison, which is under threat of development.",https://www.bbc.co.uk/news/uk-england-berkshire-56243680,2021-03-04 17:20:06+00:00
Sutton Coldfield mum recalls being pregnant and stabbed,Natalie Queiroz recalls her partner's attack five years ago in which her unborn child was feared dead.,https://www.bbc.co.uk/news/uk-england-birmingham-56230392,2021-03-04 17:00:41+00:00
Covid: What’s the problem with the EU vaccine rollout?,The coronavirus vaccine is being rolled out across the EU but there have been delays.,https://www.bbc.co.uk/news/explainers-52380823,2021-03-04 16:00:13+00:00
BTS named world's best-selling artists of 2020,The Korean boyband beat Taylor Swift and Drake to top the chart.,https://www.bbc.co.uk/news/entertainment-arts-56283259,2021-03-04 15:56:10+00:00
Glasgow and Dublin at growing risk of losing Euro 2020 games,Glasgow and Dublin are at growing risk of being cut from the list of host cities for this summer's European Championship.,https://www.bbc.co.uk/sport/football/56250120,2021-03-04 15:30:28+00:00
When is the census and what is it for?,The once-a-decade survey gives a snapshot of UK life and helps find out what services are needed.,https://www.bbc.co.uk/news/explainers-55935409,2021-03-04 15:27:20+00:00
"Love Island to return this summer, ITV confirms","The broadcaster announces the dating show will return this summer, but doesn't confirm the location.",https://www.bbc.co.uk/news/entertainment-arts-56277850,2021-03-04 15:23:33+00:00
Food waste: Amount thrown away totals 900 million tonnes,"Every year, 23 million truckloads of food go straight into the waste bin, according to the UN.",https://www.bbc.co.uk/news/science-environment-56271385,2021-03-04 15:14:12+00:00
